K Run Tem Iterate    Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fst3     Fst4     Fst5     Fst6     Fst7     Fst8     Fst9     Fis1     Fis2     Fis3     Fis4     Fis5     Fis6     Fis7     Fis8     Fis9
9   4   1       0   1.0000 56:01:16 -1.72017359909E+05 -1.72017359909E+05  0.00509 -0.00199 -0.00451 -0.00038  0.01086 -0.00867 -0.00509  0.00044 -0.00702 -0.10305 -0.20623 -0.13791 -0.19590 -0.14780 -0.23759 -0.18976 -0.15935 -0.13352
9   4   1     100   1.0000 56:01:16 -1.71791366923E+05 -1.71791366923E+05  0.00509 -0.00199 -0.00702 -0.00451 -0.00038  0.01086 -0.00867 -0.00509  0.00044 -0.10305 -0.20623 -0.13352 -0.13791 -0.19590 -0.14780 -0.23759 -0.18976 -0.15935
9   4   1     200  39.0000 56:01:16 -1.67209866960E+05 -1.67209866960E+05 -0.00451  0.00509 -0.00199  0.00044  0.01086 -0.00867 -0.00509 -0.00702 -0.00038 -0.13791 -0.10305 -0.20623 -0.15935 -0.14780 -0.23759 -0.18976 -0.13352 -0.19590
9   4   1     400  39.5000 56:01:16 -1.65652111258E+05 -1.65369629544E+05  0.00509 -0.00451 -0.00509  0.00044 -0.00038 -0.00702  0.01086 -0.00867 -0.00199 -0.10305 -0.13791 -0.18976 -0.15935 -0.19590 -0.13352 -0.14780 -0.23759 -0.20623
9   4   1     800  38.7500 56:01:16 -1.66161988821E+05 -1.65369629544E+05 -0.00451 -0.00509 -0.00038  0.00044 -0.00199 -0.00702 -0.00867  0.00509  0.01086 -0.13791 -0.18976 -0.19590 -0.15935 -0.20623 -0.13352 -0.23759 -0.10305 -0.14780
9   4   1    1600  43.3125 56:01:16 -1.64335461468E+05 -1.63001582108E+05 -0.00702  0.01086 -0.00038 -0.00509  0.00509 -0.00867 -0.00451  0.00044 -0.00199 -0.13352 -0.14780 -0.19590 -0.18976 -0.10305 -0.23759 -0.13791 -0.15935 -0.20623
9   4   1    3200  47.2188 56:01:16 -1.66234356752E+05 -1.63001582108E+05 -0.00509 -0.00038  0.01086 -0.00867 -0.00451  0.00509 -0.00199  0.00044 -0.00702 -0.18976 -0.19590 -0.14780 -0.23759 -0.13791 -0.10305 -0.20623 -0.15935 -0.13352
9   4   2    6400  35.5024 56:01:16 -1.64847691296E+05 -1.61744378329E+05 -0.00509 -0.00702  0.00509  0.00044 -0.00038 -0.00199  0.01086 -0.00867 -0.00451 -0.18976 -0.13352 -0.10305 -0.15935 -0.19590 -0.20623 -0.14780 -0.23759 -0.13791
9   4   2   12800  37.9025 59:01:16 -1.64240248420E+05 -1.61744378329E+05 -0.00038  0.01086  0.00044 -0.00509 -0.00867 -0.00451 -0.00702  0.00509 -0.00199 -0.19590 -0.14780 -0.15935 -0.18976 -0.23759 -0.13791 -0.13352 -0.10305 -0.20623
9   4   2   15000  38.1764 00:02:16 -1.64398142620E+05 -1.61744378329E+05 -0.00702 -0.00059  0.01584  0.13159 -0.02273  0.31502  0.33721 -0.03027  0.00910 -0.09953 -0.06687 -0.16075 -0.28857 -0.20793 -0.78140 -0.89436 -0.16657 -0.20293
9   4   2   20000  39.6713 02:02:16 -1.64808827427E+05 -1.61744378329E+05  0.13159 -0.00702  0.01584 -0.00059  0.31502  0.33721 -0.03027  0.00910 -0.02273 -0.28857 -0.09953 -0.16075 -0.06687 -0.78140 -0.89436 -0.16657 -0.20293 -0.20793
9   4   2   25600  39.4985 02:02:16 -1.64501858793E+05 -1.61744378329E+05  0.01584 -0.00702 -0.02273 -0.00059  0.13159  0.31502  0.33721  0.00910 -0.03027 -0.16075 -0.09953 -0.20793 -0.06687 -0.28857 -0.78140 -0.89436 -0.20293 -0.16657
9   4   3   35000  32.4384 07:02:16 -1.64036116234E+05 -1.61744378329E+05 -0.00905 -0.00720  1.00000  0.27176  0.32816  1.00000  1.00000  0.35001  1.00000 -0.15133 -0.18186  0.00000 -0.75111 -0.89436  0.00000  0.00000 -0.81056  0.00000
