 K Run Tem Iterate    Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fst3     Fst4     Fst5     Fst6     Fst7     Fst8     Fst9    Fst10     Fis1     Fis2     Fis3     Fis4     Fis5     Fis6     Fis7     Fis8     Fis9    Fis10
10   8   1       0   1.0000 17:21:16 -1.73727803371E+05 -1.73727803371E+05  0.00421 -0.01146  0.00215  0.01518 -0.00810 -0.00047 -0.00786 -0.01485  0.00121 -0.00214 -0.11221 -0.18199 -0.21667 -0.12255 -0.16391 -0.15833 -0.18834 -0.17959 -0.14727 -0.20649
10   8   1     100   1.9417 17:21:16 -1.73526039934E+05 -1.73526039934E+05  0.00421 -0.01146  0.00215  0.01518 -0.00810 -0.00047 -0.00786 -0.01485  0.00121 -0.00214 -0.11221 -0.18199 -0.21667 -0.12255 -0.16391 -0.15833 -0.18834 -0.17959 -0.14727 -0.20649
10   8   1     200  35.4680 17:21:16 -1.69116935640E+05 -1.68853445729E+05 -0.01146 -0.00047  0.00215 -0.01485  0.00121  0.00421 -0.00786 -0.00810 -0.00214  0.01518 -0.18199 -0.15833 -0.21667 -0.17959 -0.14727 -0.11221 -0.18834 -0.16391 -0.20649 -0.12255
10   8   1     400  43.1762 17:21:16 -1.68019650623E+05 -1.66761377775E+05  0.00121 -0.01485  0.00215 -0.00810  0.01518  0.00421 -0.00786 -0.01146 -0.00214 -0.00047 -0.14727 -0.17959 -0.21667 -0.16391 -0.12255 -0.11221 -0.18834 -0.18199 -0.20649 -0.15833
10   8   1     800  46.4508 17:21:16 -1.66961327487E+05 -1.65686130407E+05 -0.00786 -0.01485  0.01518 -0.01146  0.00121 -0.00214  0.00421 -0.00810 -0.00047  0.00215 -0.18834 -0.17959 -0.12255 -0.18199 -0.14727 -0.20649 -0.11221 -0.16391 -0.15833 -0.21667
10   8   1    1600  48.7835 18:21:16 -1.66626342600E+05 -1.64829381488E+05 -0.00810  0.00121  0.00215 -0.00786 -0.01485 -0.00214  0.00421  0.01518 -0.01146 -0.00047 -0.16391 -0.14727 -0.21667 -0.18834 -0.17959 -0.20649 -0.11221 -0.12255 -0.18199 -0.15833
10   8   2    3200  57.2864 18:21:16 -1.66584387799E+05 -1.64829381488E+05 -0.01485  0.00121 -0.00810  0.00215 -0.00214  0.00421 -0.00786  0.01518 -0.00047 -0.01146 -0.17959 -0.14727 -0.16391 -0.21667 -0.20649 -0.11221 -0.18834 -0.12255 -0.15833 -0.18199
10   8   2    6400  42.0712 18:21:16 -1.64169756148E+05 -1.64037899404E+05  0.00121 -0.01485  0.00215  0.01518 -0.01146 -0.00810 -0.00047 -0.00214  0.00421 -0.00786 -0.14727 -0.17959 -0.21667 -0.12255 -0.18199 -0.16391 -0.15833 -0.20649 -0.11221 -0.18834
10   8   2   12800  39.5449 19:21:16 -1.64946012189E+05 -1.63354014468E+05  0.00215 -0.00810 -0.00786 -0.01146 -0.00214  0.00421 -0.01485  0.01518 -0.00047  0.00121 -0.21667 -0.16391 -0.18834 -0.18199 -0.20649 -0.11221 -0.17959 -0.12255 -0.15833 -0.14727
10   8   3   15000  41.8182 21:21:16 -1.66156608294E+05 -1.63354014468E+05  0.00215  0.01518 -0.00214  0.00421 -0.00047 -0.00786 -0.01485 -0.00810  0.00121 -0.01146 -0.21667 -0.12255 -0.20649 -0.11221 -0.15833 -0.18834 -0.17959 -0.16391 -0.14727 -0.18199
