 K Run Tem Iterate    Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fst3     Fst4     Fst5     Fst6     Fst7     Fst8     Fst9    Fst10     Fis1     Fis2     Fis3     Fis4     Fis5     Fis6     Fis7     Fis8     Fis9    Fis10
10   7   1       0   1.0000 48:19:16 -1.72816264137E+05 -1.72816264137E+05  0.02626  0.01398 -0.03601 -0.00250  0.01704  0.01475  0.01166 -0.01320  0.02640 -0.00030 -0.17878 -0.16129 -0.24253 -0.08182 -0.25041 -0.16746 -0.18512 -0.17913 -0.14120 -0.17751
10   7   1     100   0.9901 48:19:16 -1.72543681434E+05 -1.72543681434E+05  0.02626  0.01398 -0.03601 -0.00250  0.01704  0.01475  0.01166 -0.01320  0.02640 -0.00030 -0.17878 -0.16129 -0.24253 -0.08182 -0.25041 -0.16746 -0.18512 -0.17913 -0.14120 -0.17751
10   7   1     200  29.7030 48:19:16 -1.68583155398E+05 -1.68583155398E+05  0.02626 -0.00250  0.02640  0.01166  0.01704  0.01475 -0.00030 -0.01320  0.01398 -0.03601 -0.17878 -0.08182 -0.14120 -0.18512 -0.25041 -0.16746 -0.17751 -0.17913 -0.16129 -0.24253
10   7   1     400  47.0149 48:19:16 -1.65935396754E+05 -1.65603253910E+05  0.01475  0.01166 -0.01320 -0.03601  0.01398  0.02626  0.01704  0.02640 -0.00030 -0.00250 -0.16746 -0.18512 -0.17913 -0.24253 -0.16129 -0.17878 -0.25041 -0.14120 -0.17751 -0.08182
10   7   1     800  49.8753 48:19:16 -1.68877054100E+05 -1.65587019451E+05  0.01475 -0.00030  0.01166 -0.01320 -0.00250 -0.03601  0.02626  0.01398  0.01704  0.02640 -0.16746 -0.17751 -0.18512 -0.17913 -0.08182 -0.24253 -0.17878 -0.16129 -0.25041 -0.14120
10   7   1    1600  50.8115 48:19:16 -1.66794174113E+05 -1.65493866225E+05  0.01398  0.01704 -0.01320 -0.00250  0.01166 -0.03601  0.02626 -0.00030  0.01475  0.02640 -0.16129 -0.25041 -0.17913 -0.08182 -0.18512 -0.24253 -0.17878 -0.17751 -0.16746 -0.14120
10   7   1    3200  50.4060 48:19:16 -1.67221585224E+05 -1.65184508382E+05  0.01475  0.01398  0.01704 -0.00250  0.01166 -0.03601  0.02640  0.02626 -0.00030 -0.01320 -0.16746 -0.16129 -0.25041 -0.08182 -0.18512 -0.24253 -0.14120 -0.17878 -0.17751 -0.17913
10   7   2    6400  48.1912 48:19:16 -1.66915914382E+05 -1.65180650620E+05  0.01166  0.02640 -0.00250  0.01398  0.02626 -0.00030  0.01475 -0.03601 -0.01320  0.01704 -0.18512 -0.14120 -0.08182 -0.16129 -0.17878 -0.17751 -0.16746 -0.24253 -0.17913 -0.25041
10   7   3   12800  39.1372 52:19:16 -1.65297024304E+05 -1.63816130264E+05  0.02640 -0.00250 -0.01320  0.01475 -0.03601  0.02626 -0.00030  0.01398  0.01166  0.01704 -0.14120 -0.08182 -0.17913 -0.16746 -0.24253 -0.17878 -0.17751 -0.16129 -0.18512 -0.25041
10   7   3   15000  37.7413 54:19:16 -1.66101520770E+05 -1.63816130264E+05  0.02640  0.01475 -0.00250 -0.01320 -0.03601  0.02626 -0.00030  0.01398  0.01704  0.01166 -0.14120 -0.16746 -0.08182 -0.17913 -0.24253 -0.17878 -0.17751 -0.16129 -0.25041 -0.18512
