K Run Tem Iterate    Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fst3     Fst4     Fst5     Fis1     Fis2     Fis3     Fis4     Fis5
5   5   1       0   1.0000 12:31:15 -1.65694186299E+05 -1.65694186299E+05  0.00839  0.00286 -0.00713 -0.00126 -0.00254 -0.17256 -0.18802 -0.15517 -0.15403 -0.17807
5   5   1     100   0.9901 12:31:15 -1.65669147653E+05 -1.65669147653E+05  0.00839  0.00286 -0.00713 -0.00126 -0.00254 -0.17256 -0.18802 -0.15517 -0.15403 -0.17807
5   5   1     200  28.3582 12:31:15 -1.61384828279E+05 -1.61384828279E+05  0.00286  0.00839 -0.00713 -0.00254 -0.00126 -0.18802 -0.17256 -0.15517 -0.17807 -0.15403
5   5   1     400  33.6658 12:31:15 -1.58054767597E+05 -1.57862081503E+05 -0.00254 -0.00126 -0.00713  0.00839  0.00286 -0.17807 -0.15403 -0.15517 -0.17256 -0.18802
5   5   1     800  38.0774 12:31:15 -1.60119822413E+05 -1.57862081503E+05 -0.00126 -0.00713 -0.00254  0.00839  0.00286 -0.15403 -0.15517 -0.17807 -0.17256 -0.18802
5   5   1    1600  42.7858 12:31:15 -1.59396912781E+05 -1.57862081503E+05 -0.00713 -0.00126 -0.00254  0.00839  0.00286 -0.15517 -0.15403 -0.17807 -0.17256 -0.18802
5   5   1    3200  45.1421 12:31:15 -1.59044123606E+05 -1.56943857257E+05 -0.00126  0.00286 -0.00713  0.00839 -0.00254 -0.15403 -0.18802 -0.15517 -0.17256 -0.17807
5   5   2    6400  45.8944 12:31:15 -1.61104419245E+05 -1.56943857257E+05 -0.00257  0.32621 -0.00903  0.26965 -0.01967 -0.02438 -0.89436 -0.07541 -0.75111 -0.17062
5   5   4   12800  37.6147 12:31:15 -1.59814271464E+05 -1.56592797158E+05  1.00000 -0.00791  0.01877  0.19101  0.19851  0.00000 -0.16699 -0.14191 -0.55996 -0.56811
5   5   4   15000  35.3348 14:31:15 -1.57919281482E+05 -1.56592797158E+05  1.00000 -0.00791  0.19851  0.01877  0.19101  0.00000 -0.16699 -0.56811 -0.14191 -0.55996
5   5   4   20000  36.6337 17:31:15 -1.58398879865E+05 -1.56420735541E+05  0.00949 -0.00792  0.02169  0.27823  0.33413 -0.23703 -0.16939 -0.12390 -0.75111 -0.89436
5   5   5   25600  28.1622 18:31:15 -1.58154796122E+05 -1.56420735541E+05  0.04221  0.00100  0.27708  0.03851  0.13675 -0.01249 -0.15973 -0.75111 -0.28344 -0.39281
5   5   5   35000  28.5738 19:31:15 -1.57945103515E+05 -1.56247823711E+05  0.00687  0.02142  0.27609  0.33216  0.00903 -0.14293 -0.15270 -0.75111 -0.89436 -0.21946
5   5   6   40000  21.0691 22:31:15 -1.57532128577E+05 -1.56247823711E+05  0.00313  0.01977  0.00813  0.27692  0.33292 -0.13625 -0.24821 -0.13910 -0.75111 -0.89436
5   5   6   45000  24.0075 24:31:15 -1.57311571163E+05 -1.56019997550E+05  0.00387  0.02080  0.27558  0.33169  0.03961 -0.14822 -0.25492 -0.75111 -0.89436 -0.08132
5   5   6   51200  25.2444 24:31:15 -1.56403982132E+05 -1.56019997550E+05  0.00382  0.05367  0.02391  0.27638  0.33242 -0.14802 -0.26035 -0.23099 -0.75111 -0.89436
5   5   7   60000  23.6752 28:31:15 -1.56846890304E+05 -1.55903048173E+05  0.02713 -0.01005  0.00396  0.27612  0.33218 -0.25606 -0.17796 -0.14042 -0.75111 -0.89436
5   5   7   65000  22.8360 30:31:15 -1.57480961128E+05 -1.55903048173E+05  0.02151  0.01229  0.00329  0.27699  0.33298 -0.25654 -0.15036 -0.11659 -0.75111 -0.89436
5   5   8   80000  19.8217 34:31:15 -1.57006600548E+05 -1.55862228095E+05 -0.00725  0.01494  0.02511  0.27814  0.33404 -0.15419 -0.12935 -0.25188 -0.75111 -0.89436
5   5   9   85000  13.7094 36:31:15 -1.55994804921E+05 -1.55749133407E+05  0.01691  0.02188  0.03028  0.27722  0.33320 -0.16503 -0.26866 -0.09606 -0.75111 -0.89436
5   5  10  102400  13.8065 37:31:15 -1.56182763476E+05 -1.55589047389E+05  0.05995  0.00847  0.02948  0.27578  0.33186 -0.29575 -0.13362 -0.26471 -0.75111 -0.89436
