K Run Tem Iterate    Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fis1     Fis2
2   8   1       0   1.0000 28:18:15 -1.60681660480E+05 -1.60681660480E+05  0.00351 -0.00211 -0.16248 -0.17831
2   8   1     100   1.0000 29:18:15 -1.60477977819E+05 -1.60477977819E+05  0.00351 -0.00211 -0.16248 -0.17831
2   8   1     200  17.5000 29:18:15 -1.59596929508E+05 -1.58267550107E+05 -0.00211  0.00351 -0.17831 -0.16248
2   8   1     400  25.2500 29:18:15 -1.59617122598E+05 -1.57207959392E+05 -0.00211  0.00351 -0.17831 -0.16248
2   8   1     800  39.3750 29:18:15 -1.58567398674E+05 -1.57207959392E+05  0.00351 -0.00211 -0.16248 -0.17831
2   8   1    1600  45.9375 30:18:15 -1.57918312582E+05 -1.57062386476E+05 -0.00722  0.01079 -0.18195 -0.09940
2   8   2    3200  61.5756 31:18:15 -1.60244033047E+05 -1.57062386476E+05  0.01767  0.00196 -0.19100 -0.17424
2   8   4    5000  50.0000 33:18:15 -1.59415955131E+05 -1.57062386476E+05  0.02339 -0.00305 -0.14593 -0.18618
2   8   4    6400  48.7544 33:18:15 -1.60034701800E+05 -1.57062386476E+05  0.02016 -0.00503 -0.15039 -0.17742
2   8   8   12800   0.0000 33:18:15 -1.56222068432E+05 -1.56222068432E+05 -0.05683  0.24305 -0.16137 -0.75111
2   8 200   13663   0.0000 34:18:15 -1.56222068432E+05 -1.56222068432E+05 -0.05683  0.24305 -0.16137 -0.75111
