K Run Tem Iterate    Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fst3     Fst4     Fst5     Fis1     Fis2     Fis3     Fis4     Fis5
5   3   1       0   1.0000 53:29:15 -1.66113347633E+05 -1.66113347633E+05 -0.01345 -0.00321 -0.00277  0.00951 -0.00430 -0.19050 -0.15039 -0.15234 -0.17249 -0.16457
5   3   1     100   2.9412 53:29:15 -1.66050228254E+05 -1.66050228254E+05 -0.01345 -0.00321 -0.00277  0.00951 -0.00430 -0.19050 -0.15039 -0.15234 -0.17249 -0.16457
5   3   1     200  35.1485 53:29:15 -1.63484679495E+05 -1.63484679495E+05 -0.00430 -0.00321 -0.01345  0.00951 -0.00277 -0.16457 -0.15039 -0.19050 -0.17249 -0.15234
5   3   1     400  40.2985 53:29:15 -1.59556456030E+05 -1.58658865284E+05  0.00951 -0.00430 -0.01345 -0.00277 -0.00321 -0.17249 -0.16457 -0.19050 -0.15234 -0.15039
5   3   1     800  43.5162 53:29:15 -1.60111318004E+05 -1.58428437754E+05 -0.00277 -0.01345 -0.00430 -0.00321  0.00951 -0.15234 -0.19050 -0.16457 -0.15039 -0.17249
5   3   1    1600  43.3208 53:29:15 -1.59894451975E+05 -1.58428437754E+05 -0.01345 -0.00277  0.00951 -0.00321 -0.00430 -0.19050 -0.15234 -0.17249 -0.15039 -0.16457
5   3   1    3200  43.6290 53:29:15 -1.59062569253E+05 -1.57213277704E+05 -0.01345 -0.00277  0.00951 -0.00321 -0.00430 -0.19050 -0.15234 -0.17249 -0.15039 -0.16457
5   3   3    6400  35.4839 55:29:15 -1.59307808719E+05 -1.57213277704E+05  0.03079  0.01762  0.09922  0.00082  0.10781 -0.12864 -0.23710 -0.32630 -0.09945 -0.40928
5   3   4   10000  36.8293 57:29:15 -1.58865666839E+05 -1.56594934435E+05  0.02986  0.00505  0.18764  0.21166  0.01037 -0.23948 -0.11955 -0.54872 -0.58881 -0.15008
5   3   4   12800  36.9727 59:29:15 -1.59315548060E+05 -1.56594934435E+05 -0.01235 -0.02086  0.01265  0.20690  0.33147 -0.17539 -0.09044 -0.11223 -0.55504 -0.89436
5   3   4   15000  37.0465 59:29:15 -1.58044700310E+05 -1.56594934435E+05  0.01265 -0.02086 -0.01235  0.20690  0.33147 -0.11223 -0.09044 -0.17539 -0.55504 -0.89436
5   3   5   25600  31.1846 01:30:15 -1.58394031591E+05 -1.56252839449E+05  0.02632  0.01998  0.00147  0.27534  0.33146 -0.27009 -0.09823 -0.14414 -0.75111 -0.89436
5   3   5   30000  31.2602 04:30:15 -1.57847835948E+05 -1.56252839449E+05  0.03725 -0.00440 -0.00371  0.26807  0.33322 -0.26298 -0.15327 -0.11803 -0.74459 -0.89436
5   3   6   50000  25.4587 08:30:15 -1.57020311916E+05 -1.55999576092E+05 -0.00826  1.00000  0.01840  0.26979  0.32634 -0.13798  0.00000 -0.26319 -0.75111 -0.89436
5   3   6   51200  24.9675 08:30:15 -1.56002023923E+05 -1.55979430449E+05  0.04948  0.00516  0.01326  0.27578  0.33187 -0.09458 -0.15110 -0.24830 -0.75111 -0.89436
5   3   7   55000  23.5936 11:30:15 -1.57444396589E+05 -1.55861931937E+05  0.01002  0.01227  0.27713  0.33311  0.00591 -0.16229 -0.25334 -0.75111 -0.89436 -0.08387
5   3   8   75000  22.6596 16:30:15 -1.56534894767E+05 -1.55861931937E+05  0.00745  0.02548  1.00000  0.27581  0.19019 -0.13985 -0.25875  0.00000 -0.75111 -0.55996
5   3   9   90000  17.3010 18:30:15 -1.56837667755E+05 -1.55635621105E+05  0.04648 -0.00093  0.03480  0.27562  0.33172 -0.18579 -0.13640 -0.27547 -0.75111 -0.89436
5   3  10  102400  13.5510 18:30:15 -1.56210242877E+05 -1.55635621105E+05 -0.00127  0.02945  0.27160  0.32801  0.34988 -0.14173 -0.27008 -0.75111 -0.89436 -0.81056
5   3  11  103778  13.6000 18:30:15 -1.56618149277E+05 -1.55635621105E+05 -0.00127  0.02945  0.34988  0.27160  0.32801 -0.14173 -0.27008 -0.81056 -0.75111 -0.89436
5   3  12  118424   4.0000 19:30:15 -1.55986072218E+05 -1.55621927351E+05  0.04676  0.02005  0.00937  0.27580  0.33189 -0.09638 -0.24503 -0.16081 -0.75111 -0.89436
5   3  12  130000   8.5846 20:30:15 -1.56071115967E+05 -1.55621927351E+05  0.00535  0.03542  0.03563  0.27630  0.33235 -0.16799 -0.09226 -0.27617 -0.75111 -0.89436
5   3  13  132934   7.0000 20:30:15 -1.56293293965E+05 -1.55621927351E+05  0.00150  0.03809  0.09419  0.27480  0.33096 -0.14042 -0.28150 -0.26927 -0.75111 -0.89436
5   3  14  141880   2.9000 20:30:15 -1.55635621105E+05 -1.55621927351E+05  0.03103  0.02020  0.02137  0.27709  0.33308 -0.11372 -0.24772 -0.16676 -0.75111 -0.89436
5   3  15  155995   2.1000 21:30:15 -1.55621927351E+05 -1.55621927351E+05  0.05065  0.02671  0.01475  0.27639  0.33243 -0.09264 -0.26069 -0.17256 -0.75111 -0.89436
5   3  16  164707   2.9000 21:30:15 -1.55645393256E+05 -1.55621927351E+05  0.00911  0.03329  0.01763  0.27770  0.33363 -0.11225 -0.26444 -0.16977 -0.75111 -0.89436
5   3  16  175000   2.2351 22:30:15 -1.55663034287E+05 -1.55621927351E+05  0.05053  0.02405  0.01642  0.27630  0.33235 -0.09264 -0.25804 -0.17138 -0.75111 -0.89436
5   3  17  178966   1.7000 22:30:15 -1.55621927351E+05 -1.55621927351E+05  0.05049  0.03252  0.00908  0.27627  0.33232 -0.09264 -0.26661 -0.16988 -0.75111 -0.89436
5   3  18  187805   1.2000 22:30:15 -1.55635621105E+05 -1.55621927351E+05  0.05047  0.03012  0.01181  0.27626  0.33231 -0.09264 -0.26471 -0.16978 -0.75111 -0.89436
5   3  19  202195   2.0000 23:30:15 -1.55589047389E+05 -1.55589047389E+05 -0.00645  0.03330  0.05758  0.27612  0.33218 -0.15778 -0.26836 -0.15591 -0.75111 -0.89436
5   3  20  216620   1.0000 23:30:15 -1.55645393256E+05 -1.55589047389E+05  0.05047  0.03012  0.01181  0.27626  0.33231 -0.09264 -0.26471 -0.16978 -0.75111 -0.89436
5   3  21  225000   1.2367 24:30:15 -1.55621927351E+05 -1.55589047389E+05  0.05047  0.03012  0.01181  0.27626  0.33231 -0.09264 -0.26471 -0.16978 -0.75111 -0.89436
5   3  21  225392   0.8000 24:30:15 -1.55635621105E+05 -1.55589047389E+05  0.05047  0.03012  0.01181  0.27626  0.33231 -0.09264 -0.26471 -0.16978 -0.75111 -0.89436
5   3  22  239678   0.8000 24:30:15 -1.55621927351E+05 -1.55589047389E+05  0.05053  0.02405  0.01642  0.27630  0.33235 -0.09264 -0.25804 -0.17138 -0.75111 -0.89436
5   3  23  251924   1.2000 25:30:15 -1.55621927351E+05 -1.55589047389E+05  0.02993  0.03500  0.01612  0.27740  0.33336 -0.09555 -0.26836 -0.17256 -0.75111 -0.89436
5   3  24  266230   1.1000 25:30:15 -1.55635621105E+05 -1.55589047389E+05  0.05053  0.02405  0.01642  0.27630  0.33235 -0.09264 -0.25804 -0.17138 -0.75111 -0.89436
5   3  24  270000   0.7212 26:30:15 -1.55621927351E+05 -1.55589047389E+05  0.05047  0.03012  0.01181  0.27626  0.33231 -0.09264 -0.26471 -0.16978 -0.75111 -0.89436
5   3  25  280604   0.8000 26:30:15 -1.55663034287E+05 -1.55589047389E+05  0.05053  0.02405  0.01642  0.27630  0.33235 -0.09264 -0.25804 -0.17138 -0.75111 -0.89436
5   3  27  303631   0.5000 27:30:15 -1.55635621105E+05 -1.55589047389E+05  0.05053  0.02405  0.01642  0.27630  0.33235 -0.09264 -0.25804 -0.17138 -0.75111 -0.89436
5   3  28  317803   0.4000 28:30:15 -1.55621927351E+05 -1.55589047389E+05  0.05053  0.02405  0.01642  0.27630  0.33235 -0.09264 -0.25804 -0.17138 -0.75111 -0.89436
5   3  28  320000   0.6271 28:30:15 -1.55621927351E+05 -1.55589047389E+05  0.05053  0.02405  0.01642  0.27630  0.33235 -0.09264 -0.25804 -0.17138 -0.75111 -0.89436
5   3  29  326539   0.6000 28:30:15 -1.55621927351E+05 -1.55589047389E+05  0.05047  0.03012  0.01181  0.27626  0.33231 -0.09264 -0.26471 -0.16978 -0.75111 -0.89436
5   3  30  340819   0.1000 29:30:15 -1.55621927351E+05 -1.55589047389E+05  0.05053  0.02405  0.01642  0.27630  0.33235 -0.09264 -0.25804 -0.17138 -0.75111 -0.89436
5   3  31  341720   0.8000 29:30:15 -1.55621927351E+05 -1.55589047389E+05  0.05053  0.02405  0.01642  0.27630  0.33235 -0.09264 -0.25804 -0.17138 -0.75111 -0.89436
5   3  32  356010   0.1000 29:30:15 -1.55621927351E+05 -1.55589047389E+05  0.05053  0.02405  0.01642  0.27630  0.33235 -0.09264 -0.25804 -0.17138 -0.75111 -0.89436
5   3  33  356888   0.2000 29:30:15 -1.55621927351E+05 -1.55589047389E+05  0.05053  0.02405  0.01642  0.27630  0.33235 -0.09264 -0.25804 -0.17138 -0.75111 -0.89436
5   3  33  360000   0.1768 30:30:15 -1.55621927351E+05 -1.55589047389E+05  0.05053  0.02405  0.01642  0.27630  0.33235 -0.09264 -0.25804 -0.17138 -0.75111 -0.89436
5   3  34  370077   0.3000 30:30:15 -1.55635621105E+05 -1.55589047389E+05  0.05053  0.02405  0.01642  0.27630  0.33235 -0.09264 -0.25804 -0.17138 -0.75111 -0.89436
5   3  35  384260   0.3000 31:30:15 -1.55635621105E+05 -1.55589047389E+05  0.05053  0.02405  0.01642  0.27630  0.33235 -0.09264 -0.25804 -0.17138 -0.75111 -0.89436
5   3  36  390282   0.0000 31:30:15 -1.55621927351E+05 -1.55589047389E+05  0.05053  0.02405  0.01642  0.27630  0.33235 -0.09264 -0.25804 -0.17138 -0.75111 -0.89436
5   3  37  391157   0.0000 31:30:15 -1.55621927351E+05 -1.55589047389E+05  0.05053  0.02405  0.01642  0.27630  0.33235 -0.09264 -0.25804 -0.17138 -0.75111 -0.89436
5   3  38  392019   0.0000 31:30:15 -1.55621927351E+05 -1.55589047389E+05  0.05053  0.02405  0.01642  0.27630  0.33235 -0.09264 -0.25804 -0.17138 -0.75111 -0.89436
5   3  40  393769   0.0000 31:30:15 -1.55621927351E+05 -1.55589047389E+05  0.05053  0.02405  0.01642  0.27630  0.33235 -0.09264 -0.25804 -0.17138 -0.75111 -0.89436
5   3  41  394621   0.0000 31:30:15 -1.55621927351E+05 -1.55589047389E+05  0.05053  0.02405  0.01642  0.27630  0.33235 -0.09264 -0.25804 -0.17138 -0.75111 -0.89436
5   3 200  394623   0.0000 31:30:15 -1.55589047389E+05 -1.55589047389E+05  0.05053  0.02405  0.01642  0.27630  0.33235 -0.09264 -0.25804 -0.17138 -0.75111 -0.89436
