K Run Tem Iterate    Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fis1     Fis2
2   3   1       0   1.0000 06:18:15 -1.60675786254E+05 -1.60675786254E+05  0.00029  0.00084 -0.16726 -0.17308
2   3   1     100   1.0000 06:18:15 -1.60042538172E+05 -1.60042538172E+05  0.00029  0.00084 -0.16726 -0.17308
2   3   1     200  16.5000 06:18:15 -1.58459025109E+05 -1.58192407668E+05  0.00029  0.00084 -0.16726 -0.17308
2   3   1     400  31.0000 06:18:15 -1.59763390153E+05 -1.57990563494E+05  0.00029  0.00084 -0.16726 -0.17308
2   3   1     800  46.2500 06:18:15 -1.60113945428E+05 -1.57990563494E+05  0.00084  0.00029 -0.17308 -0.16726
2   3   2    1600  48.8764 06:18:15 -1.58535927969E+05 -1.57990563494E+05 -0.00873  0.01500 -0.18215 -0.10312
2   3   2    3200  42.8009 06:18:15 -1.58709686239E+05 -1.56660337553E+05  0.00424  0.01508 -0.15508 -0.23390
2   3   3    6400  38.2675 06:18:15 -1.58459422863E+05 -1.56660337553E+05 -0.00385  0.02628 -0.19066 -0.16663
2   3   7   12800   0.0000 06:18:15 -1.56222068432E+05 -1.56222068432E+05 -0.03590  0.14615 -0.16678 -0.44239
2   3 200   13295   0.0000 06:18:15 -1.56222068432E+05 -1.56222068432E+05 -0.05683  0.24305 -0.16137 -0.75111
