K Run Tem Iterate    Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fis1     Fis2
2   7   1       0   1.0000 26:18:15 -1.60848840279E+05 -1.60848840279E+05  0.00415 -0.00516 -0.17167 -0.16600
2   7   1     100   1.0000 26:18:15 -1.59374513108E+05 -1.59374513108E+05  0.00415 -0.00516 -0.17167 -0.16600
2   7   1     200  10.5000 26:18:15 -1.57555577172E+05 -1.57187195563E+05 -0.00516  0.00415 -0.16600 -0.17167
2   7   1     400  14.7500 26:18:15 -1.58956457455E+05 -1.57103477884E+05  0.00415 -0.00516 -0.17167 -0.16600
2   7   1     800  26.2500 26:18:15 -1.57089298823E+05 -1.57089298823E+05 -0.00516  0.00415 -0.16600 -0.17167
2   7   1    1600  41.5000 26:18:15 -1.60174334293E+05 -1.57089298823E+05  0.01174  0.01124 -0.21211 -0.16479
2   7   2    3200  55.8333 27:18:15 -1.60449009091E+05 -1.57089298823E+05  0.01298  0.00419 -0.21671 -0.15582
2   7   3    6400  50.1667 27:18:15 -1.59417284041E+05 -1.57059687944E+05  0.03151  0.00362 -0.16721 -0.20860
2   7   6   12800  14.7436 27:18:15 -1.57180994022E+05 -1.56693249811E+05  0.02456  0.01089 -0.14369 -0.24488
2   7 200   20097   0.0000 27:18:15 -1.56222068432E+05 -1.56222068432E+05 -0.05683  0.24305 -0.16137 -0.75111
