Iter   Tolerance Admix(mean)   Admix(SD)    Fst1    Fst2    Fst3    Fst4    Fst5    Fst6    Fst7    Fst8    Fst9   QPop1   QPop2   QPop3   QPop4   QPop5   QPop6   QPop7   QPop8   QPop9
  28  1.0961E-06    0.142791    0.235596  0.0352  0.2346  0.1218  0.2088  0.1196  0.0939  0.0876  0.0454  0.0809  0.0550  0.1125  0.1424  0.0756  0.2184  0.1207  0.0387  0.0937  0.1430
  29  1.6566E-06    0.141409    0.234639  0.0351  0.2345  0.1217  0.2086  0.1196  0.0938  0.0875  0.0452  0.0808  0.0550  0.1123  0.1426  0.0755  0.2184  0.1206  0.0387  0.0938  0.1430
  30  1.1080E-06    0.141093    0.233703  0.0350  0.2345  0.1216  0.2084  0.1196  0.0938  0.0874  0.0450  0.0807  0.0550  0.1123  0.1428  0.0755  0.2186  0.1204  0.0386  0.0939  0.1429
  31  1.1035E-06    0.140336    0.233218  0.0349  0.2345  0.1216  0.2084  0.1196  0.0938  0.0874  0.0448  0.0807  0.0549  0.1122  0.1429  0.0755  0.2188  0.1203  0.0386  0.0939  0.1428
  32  1.3527E-06    0.139822    0.232216  0.0348  0.2344  0.1215  0.2082  0.1196  0.0937  0.0873  0.0446  0.0807  0.0549  0.1123  0.1429  0.0754  0.2188  0.1203  0.0386  0.0940  0.1429
  33  1.1282E-06    0.139148    0.231650  0.0347  0.2344  0.1214  0.2080  0.1196  0.0937  0.0872  0.0444  0.0807  0.0549  0.1123  0.1430  0.0753  0.2190  0.1201  0.0386  0.0940  0.1428
  34  6.9451E-07    0.138490    0.230945  0.0347  0.2344  0.1214  0.2078  0.1196  0.0937  0.0872  0.0442  0.0807  0.0548  0.1122  0.1431  0.0752  0.2190  0.1201  0.0386  0.0940  0.1429
  35  9.4522E-07    0.137838    0.230120  0.0346  0.2343  0.1213  0.2077  0.1196  0.0936  0.0871  0.0440  0.0807  0.0548  0.1122  0.1433  0.0752  0.2191  0.1199  0.0385  0.0941  0.1430
  36  6.5797E-07    0.137490    0.229574  0.0345  0.2343  0.1212  0.2077  0.1196  0.0936  0.0870  0.0438  0.0807  0.0548  0.1121  0.1433  0.0752  0.2192  0.1198  0.0385  0.0941  0.1430
  37  1.1903E-06    0.136901    0.228992  0.0344  0.2343  0.1212  0.2077  0.1196  0.0935  0.0869  0.0436  0.0807  0.0547  0.1121  0.1435  0.0752  0.2191  0.1198  0.0385  0.0941  0.1429
  38  1.7800E-06    0.135975    0.228472  0.0343  0.2342  0.1211  0.2077  0.1196  0.0935  0.0869  0.0433  0.0808  0.0547  0.1121  0.1436  0.0752  0.2192  0.1197  0.0385  0.0941  0.1429
  39  5.6274E-07    0.135948    0.228136  0.0343  0.2342  0.1211  0.2077  0.1196  0.0935  0.0868  0.0431  0.0808  0.0547  0.1121  0.1437  0.0752  0.2191  0.1197  0.0385  0.0941  0.1428
  40  1.0356E-06    0.135311    0.227675  0.0342  0.2341  0.1210  0.2077  0.1196  0.0935  0.0867  0.0429  0.0809  0.0547  0.1121  0.1438  0.0752  0.2192  0.1195  0.0385  0.0942  0.1428
  41  7.1713E-07    0.135372    0.227585  0.0341  0.2341  0.1210  0.2078  0.1196  0.0935  0.0866  0.0427  0.0809  0.0547  0.1121  0.1440  0.0753  0.2191  0.1195  0.0386  0.0943  0.1426
  42  1.0013E-06    0.134857    0.226740  0.0340  0.2340  0.1210  0.2077  0.1196  0.0934  0.0865  0.0425  0.0809  0.0547  0.1120  0.1440  0.0752  0.2191  0.1194  0.0385  0.0943  0.1428
  43  9.4607E-07    0.134091    0.226165  0.0339  0.2340  0.1211  0.2076  0.1196  0.0934  0.0863  0.0423  0.0809  0.0546  0.1119  0.1442  0.0752  0.2193  0.1193  0.0385  0.0944  0.1427
  44  1.9675E-06    0.134032    0.226256  0.0338  0.2339  0.1211  0.2078  0.1196  0.0934  0.0863  0.0421  0.0810  0.0546  0.1118  0.1442  0.0753  0.2192  0.1192  0.0385  0.0943  0.1428
  45  9.8587E-07    0.133961    0.226122  0.0337  0.2339  0.1211  0.2080  0.1196  0.0934  0.0862  0.0419  0.0810  0.0545  0.1118  0.1443  0.0754  0.2191  0.1192  0.0386  0.0943  0.1427
  46  3.6151E-07    0.133850    0.225780  0.0336  0.2338  0.1211  0.2080  0.1197  0.0934  0.0860  0.0418  0.0811  0.0545  0.1118  0.1445  0.0754  0.2190  0.1191  0.0385  0.0944  0.1427
  47  3.5222E-07    0.133800    0.225561  0.0335  0.2338  0.1211  0.2081  0.1197  0.0934  0.0859  0.0416  0.0811  0.0545  0.1117  0.1447  0.0754  0.2190  0.1191  0.0386  0.0945  0.1425
  48  6.9584E-07    0.133453    0.224798  0.0334  0.2338  0.1211  0.2079  0.1197  0.0933  0.0856  0.0414  0.0812  0.0545  0.1116  0.1448  0.0754  0.2191  0.1190  0.0385  0.0945  0.1426
  49  7.3915E-07    0.133095    0.224415  0.0333  0.2337  0.1211  0.2079  0.1197  0.0933  0.0855  0.0413  0.0812  0.0544  0.1116  0.1450  0.0755  0.2190  0.1190  0.0385  0.0945  0.1426
  50  3.6878E-07    0.132955    0.224202  0.0332  0.2337  0.1211  0.2081  0.1197  0.0933  0.0853  0.0412  0.0813  0.0544  0.1116  0.1451  0.0755  0.2189  0.1190  0.0385  0.0946  0.1425
  51  5.6961E-07    0.132796    0.223908  0.0331  0.2336  0.1212  0.2081  0.1197  0.0933  0.0851  0.0411  0.0813  0.0544  0.1115  0.1452  0.0755  0.2189  0.1189  0.0385  0.0946  0.1425
  52  6.4134E-07    0.132633    0.223517  0.0330  0.2336  0.1212  0.2081  0.1198  0.0933  0.0849  0.0410  0.0814  0.0544  0.1114  0.1453  0.0755  0.2189  0.1189  0.0385  0.0946  0.1425
