K Run Tem Iterate    Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fst3     Fst4     Fst5     Fst6     Fst7     Fis1     Fis2     Fis3     Fis4     Fis5     Fis6     Fis7
7  10   1       0   1.0000 33:48:15 -1.69117718670E+05 -1.69117718670E+05  0.00413 -0.00877 -0.01167  0.00520  0.00347  0.00145 -0.01019 -0.18017 -0.18193 -0.20807 -0.12453 -0.18126 -0.15534 -0.13485
7  10   1     100   4.7170 33:48:15 -1.68906372363E+05 -1.68906372363E+05  0.00413 -0.00877 -0.01167  0.00520  0.00347  0.00145 -0.01019 -0.18017 -0.18193 -0.20807 -0.12453 -0.18126 -0.15534 -0.13485
7  10   1     200  31.8841 33:48:15 -1.64455941255E+05 -1.64455941255E+05  0.00347 -0.01167  0.00413 -0.01019 -0.00877  0.00145  0.00520 -0.18126 -0.20807 -0.18017 -0.13485 -0.18193 -0.15534 -0.12453
7  10   1     400  38.3292 33:48:15 -1.60710501207E+05 -1.60494317458E+05  0.00347 -0.01019 -0.01167  0.00413 -0.00877  0.00145  0.00520 -0.18126 -0.13485 -0.20807 -0.18017 -0.18193 -0.15534 -0.12453
7  10   1     800  40.2726 33:48:15 -1.61037730038E+05 -1.59695259565E+05  0.00520  0.00413 -0.01167  0.00347 -0.00877  0.00145 -0.01019 -0.12453 -0.18017 -0.20807 -0.18126 -0.18193 -0.15534 -0.13485
7  10   1    1600  42.5016 33:48:15 -1.61238439205E+05 -1.59695259565E+05  0.00520 -0.01167 -0.01019  0.00413 -0.00877  0.00145  0.00347 -0.12453 -0.20807 -0.13485 -0.18017 -0.18193 -0.15534 -0.18126
7  10   2    3200  50.7905 33:48:15 -1.62064955059E+05 -1.59695259565E+05  0.00520  0.00347  0.00413 -0.00877  0.00145 -0.01167 -0.01019 -0.12453 -0.18126 -0.18017 -0.18193 -0.15534 -0.20807 -0.13485
7  10   3    6400  42.8984 33:48:15 -1.60501476565E+05 -1.59695259565E+05  0.00413 -0.01167  0.00520 -0.00877  0.00145 -0.01019  0.00347 -0.18017 -0.20807 -0.12453 -0.18193 -0.15534 -0.13485 -0.18126
7  10   4   12800  39.1751 33:48:15 -1.61094507898E+05 -1.59217684846E+05  0.00099  0.27125  0.32769  1.00000  0.01053  0.34956  1.00000 -0.14424 -0.75111 -0.89436  0.00000 -0.23382 -0.81056  0.00000
7  10   5   25600  34.0764 34:48:15 -1.61870495308E+05 -1.59217684846E+05  1.00000 -0.01631  0.00463  0.26970  0.32626  1.00000  1.00000  0.00000 -0.15486 -0.26835 -0.75111 -0.89436  0.00000  0.00000
7  10   5   35000  34.5817 35:48:15 -1.62315074652E+05 -1.59148394230E+05  0.27568  0.01435  0.35351  0.03713  0.33177  1.00000  0.00282 -0.75111 -0.15102 -0.81056 -0.09208 -0.89436  0.00000 -0.19859
7  10   6   51200  25.3159 36:48:15 -1.60717892102E+05 -1.58432790466E+05 -0.02026  1.00000  0.02513  0.26931  0.32590  1.00000  0.34783 -0.18786  0.00000 -0.11227 -0.75111 -0.89436  0.00000 -0.81056
7  10   7   75000  18.9305 37:48:15 -1.59976790108E+05 -1.58432790466E+05  0.01879  0.00973  1.00000  0.27565  0.33175  0.35349  0.00046 -0.14838 -0.10897  0.00000 -0.75111 -0.89436 -0.81056 -0.21934
7  10   8  102400  15.1194 38:48:15 -1.59506368493E+05 -1.58259829085E+05  0.03525  0.08148 -0.00066  1.00000  0.27342  0.32969  0.35150 -0.27569 -0.07489 -0.15524  0.00000 -0.75111 -0.89436 -0.81056
7  10   9  116615  10.7000 38:48:15 -1.59075427014E+05 -1.58099615764E+05  0.01116  0.03462  0.02168  1.00000  0.27714  0.33313  0.35482 -0.13900 -0.23030 -0.24418  0.00000 -0.75111 -0.89436 -0.81056
