Iter   Tolerance Admix(mean)   Admix(SD)    Fst1    Fst2    Fst3    Fst4    Fst5    Fst6    Fst7   QPop1   QPop2   QPop3   QPop4   QPop5   QPop6   QPop7
  35  5.6829E-07    0.182263    0.268493  0.0565  0.2006  0.0843  0.1599  0.0956  0.0656  0.1057  0.0795  0.1122  0.2962  0.0795  0.2345  0.1380  0.0601
  36  8.6666E-07    0.182074    0.268254  0.0570  0.2005  0.0842  0.1596  0.0955  0.0655  0.1056  0.0796  0.1122  0.2962  0.0794  0.2344  0.1380  0.0602
  37  3.0283E-07    0.181995    0.268001  0.0574  0.2004  0.0842  0.1593  0.0955  0.0654  0.1055  0.0798  0.1121  0.2961  0.0793  0.2344  0.1379  0.0603
  38  3.2681E-07    0.181908    0.267692  0.0579  0.2002  0.0842  0.1589  0.0954  0.0653  0.1053  0.0800  0.1119  0.2960  0.0792  0.2344  0.1379  0.0605
  39  3.3417E-07    0.181668    0.267363  0.0583  0.2001  0.0841  0.1586  0.0953  0.0652  0.1052  0.0802  0.1118  0.2960  0.0791  0.2343  0.1378  0.0606
  40  4.8156E-07    0.181469    0.267079  0.0587  0.2000  0.0841  0.1582  0.0953  0.0651  0.1051  0.0804  0.1117  0.2960  0.0790  0.2343  0.1378  0.0608
  41  8.1419E-07    0.181222    0.266474  0.0591  0.1999  0.0840  0.1579  0.0952  0.0650  0.1050  0.0806  0.1117  0.2961  0.0789  0.2342  0.1377  0.0609
  42  3.9480E-07    0.181031    0.266123  0.0595  0.1998  0.0840  0.1575  0.0951  0.0649  0.1049  0.0807  0.1116  0.2961  0.0787  0.2342  0.1376  0.0610
  43  3.1075E-07    0.180813    0.265819  0.0599  0.1997  0.0839  0.1572  0.0951  0.0648  0.1047  0.0809  0.1114  0.2961  0.0786  0.2341  0.1376  0.0612
  44  3.1745E-07    0.180833    0.265500  0.0603  0.1996  0.0839  0.1569  0.0950  0.0647  0.1046  0.0811  0.1113  0.2961  0.0785  0.2341  0.1375  0.0613
  45  2.9413E-07    0.180616    0.265109  0.0607  0.1995  0.0838  0.1566  0.0949  0.0645  0.1045  0.0813  0.1113  0.2961  0.0784  0.2340  0.1374  0.0615
