Iter   Tolerance Admix(mean)   Admix(SD)    Fst1    Fst2    Fst3    Fst4    Fst5    Fst6   QPop1   QPop2   QPop3   QPop4   QPop5   QPop6
  39  5.3638E-07    0.117495    0.204494  0.0248  0.1882  0.0687  0.1430  0.0793  0.0391  0.1620  0.1124  0.2963  0.0762  0.2293  0.1237
  40  2.7989E-07    0.117101    0.204565  0.0247  0.1882  0.0687  0.1430  0.0793  0.0391  0.1620  0.1125  0.2963  0.0762  0.2293  0.1236
  41  2.5483E-07    0.117133    0.204154  0.0246  0.1882  0.0687  0.1430  0.0793  0.0391  0.1621  0.1125  0.2963  0.0762  0.2292  0.1236
  42  3.0791E-07    0.116913    0.203779  0.0245  0.1881  0.0686  0.1429  0.0792  0.0391  0.1622  0.1125  0.2963  0.0763  0.2292  0.1235
  43  3.3852E-07    0.116610    0.203493  0.0244  0.1881  0.0686  0.1429  0.0792  0.0391  0.1623  0.1124  0.2963  0.0762  0.2292  0.1236
  44  1.5894E-07    0.116565    0.203428  0.0244  0.1881  0.0686  0.1429  0.0792  0.0391  0.1622  0.1124  0.2964  0.0763  0.2292  0.1235
  45  1.3657E-07    0.116681    0.203195  0.0243  0.1881  0.0686  0.1429  0.0792  0.0391  0.1622  0.1124  0.2963  0.0763  0.2292  0.1235
  46  5.9984E-07    0.116272    0.203187  0.0243  0.1881  0.0686  0.1429  0.0792  0.0391  0.1622  0.1124  0.2963  0.0762  0.2294  0.1235
  47  2.3341E-07    0.116004    0.203202  0.0242  0.1881  0.0686  0.1428  0.0792  0.0390  0.1622  0.1126  0.2963  0.0762  0.2294  0.1234
  48  9.8312E-08    0.116228    0.202987  0.0242  0.1881  0.0686  0.1428  0.0791  0.0390  0.1622  0.1126  0.2963  0.0762  0.2294  0.1234
  49  2.2035E-07    0.116107    0.202766  0.0241  0.1881  0.0686  0.1428  0.0791  0.0390  0.1622  0.1125  0.2963  0.0761  0.2294  0.1234
  50  2.6693E-07    0.115955    0.202610  0.0241  0.1881  0.0686  0.1428  0.0791  0.0390  0.1622  0.1125  0.2963  0.0761  0.2295  0.1234
  51  1.0704E-07    0.116002    0.202549  0.0241  0.1881  0.0685  0.1428  0.0791  0.0390  0.1623  0.1125  0.2963  0.0761  0.2295  0.1234
