Iter   Tolerance Admix(mean)   Admix(SD)    Fst1    Fst2    Fst3    Fst4    Fst5    Fst6    Fst7    Fst8   QPop1   QPop2   QPop3   QPop4   QPop5   QPop6   QPop7   QPop8
  31  1.1349E-05    0.241089    0.308679  0.5303  0.0438  0.3909  0.4069  0.5363  0.4479 -0.1443 -0.0851  0.3183  0.1561  0.2164  0.0521  0.1131  0.1221  0.0085  0.0135
  32  1.8598E-05    0.239682    0.307205  0.5311  0.0452  0.3920  0.4068  0.5369  0.4488 -0.1491 -0.0734  0.3191  0.1551  0.2169  0.0519  0.1127  0.1217  0.0083  0.0142
  33  1.5143E-05    0.238085    0.305752  0.5320  0.0469  0.3932  0.4067  0.5376  0.4496 -0.1529 -0.0650  0.3198  0.1543  0.2174  0.0518  0.1123  0.1214  0.0081  0.0149
  34  7.6993E-05    0.234756    0.304601  0.5327  0.0481  0.3942  0.4061  0.5380  0.4503 -0.1563 -0.0531  0.3204  0.1524  0.2179  0.0517  0.1120  0.1211  0.0079  0.0166
  35  9.9503E-06    0.232916    0.304196  0.5337  0.0503  0.3956  0.4056  0.5388  0.4514 -0.1582 -0.0506  0.3211  0.1517  0.2184  0.0516  0.1117  0.1208  0.0077  0.0171
  36  1.2584E-06    0.231863    0.303418  0.5347  0.0526  0.3970  0.4049  0.5397  0.4526 -0.1598 -0.0492  0.3217  0.1515  0.2188  0.0515  0.1114  0.1205  0.0075  0.0171
  37  3.0926E-07    0.231146    0.302407  0.5357  0.0547  0.3984  0.4040  0.5405  0.4537 -0.1607 -0.0479  0.3222  0.1514  0.2193  0.0514  0.1111  0.1202  0.0073  0.0170
  38  2.5844E-07    0.230457    0.301333  0.5367  0.0568  0.3997  0.4030  0.5412  0.4547 -0.1611 -0.0468  0.3227  0.1514  0.2198  0.0513  0.1108  0.1200  0.0071  0.0169
  39  1.7128E-06    0.229496    0.300009  0.5377  0.0592  0.4011  0.4009  0.5421  0.4558 -0.1656 -0.0452  0.3235  0.1513  0.2203  0.0514  0.1105  0.1196  0.0066  0.0168
  40  9.3097E-06    0.228551    0.298416  0.5360  0.0563  0.3990  0.3965  0.5400  0.4536 -0.1621 -0.0453  0.3238  0.1518  0.2205  0.0513  0.1099  0.1191  0.0067  0.0170
  41  3.7526E-07    0.227842    0.297304  0.5359  0.0564  0.3989  0.3954  0.5397  0.4534 -0.1655 -0.0463  0.3242  0.1518  0.2210  0.0513  0.1096  0.1187  0.0065  0.0169
  42  5.1044E-06    0.226786    0.295650  0.5344  0.0535  0.3969  0.3917  0.5378  0.4512 -0.1652 -0.0483  0.3247  0.1521  0.2212  0.0511  0.1090  0.1183  0.0067  0.0170
  43  1.5577E-07    0.226167    0.294618  0.5339  0.0528  0.3963  0.3902  0.5372  0.4506 -0.1691 -0.0502  0.3252  0.1520  0.2217  0.0510  0.1087  0.1179  0.0066  0.0169
  44  1.2999E-07    0.225508    0.293442  0.5337  0.0524  0.3959  0.3891  0.5367  0.4501 -0.1720 -0.0516  0.3257  0.1520  0.2222  0.0508  0.1084  0.1177  0.0065  0.0168
  45  7.6643E-07    0.225084    0.292652  0.5335  0.0522  0.3957  0.3883  0.5363  0.4499 -0.1743 -0.0528  0.3261  0.1519  0.2224  0.0507  0.1081  0.1175  0.0064  0.0168
  46  9.7342E-08    0.224539    0.291753  0.5335  0.0521  0.3956  0.3875  0.5361  0.4497 -0.1762 -0.0539  0.3266  0.1519  0.2228  0.0506  0.1079  0.1172  0.0063  0.0167
