K Run Tem Iterate    Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fis1     Fis2
2   2   1       0   1.0000 14:24:08 -2.98791814409E+05 -2.98791814409E+05  0.08482 -0.07796 -0.16295 -0.17723
2   2   1     100   1.0000 14:24:08 -2.73407844249E+05 -2.73407844249E+05  0.08482 -0.07796 -0.16295 -0.17723
2   2   1     200  13.0000 14:24:08 -2.70149991382E+05 -2.61778976222E+05  0.08482 -0.07796 -0.16295 -0.17723
2   2   1     400  34.7500 14:24:08 -2.87604512238E+05 -2.61778976222E+05  0.08482 -0.07796 -0.16295 -0.17723
2   2   1     800  41.7500 14:24:08 -2.67205346599E+05 -2.48801574718E+05 -0.07796  0.08482 -0.17723 -0.16295
2   2   1    1600  39.0000 14:24:08 -2.62878128585E+05 -2.48801574718E+05 -0.16925  0.23949 -0.20686 -0.21460
2   2   2    3200  48.1739 14:24:08 -2.86878304854E+05 -2.48801574718E+05  0.33561  0.00604 -0.19242 -0.75409
2   2   3    6400  44.6995 14:24:08 -2.68099903312E+05 -2.47654211143E+05  0.32849 -0.03044 -0.19259 -0.64901
2   2   5   12800  26.5963 15:24:08 -2.80354001692E+05 -2.46022175551E+05  0.37804 -0.03317 -0.21418 -0.68130
2   2   9   25000   0.3115 16:24:08 -2.46022175551E+05 -2.46022175551E+05  0.38356  0.03750 -0.20788 -0.88936
2   2   9   25600   1.9216 16:24:08 -2.46022175551E+05 -2.46022175551E+05  0.38356  0.03750 -0.20788 -0.88936
2   2 200   31843   0.0000 16:24:08 -2.46022175551E+05 -2.46022175551E+05  0.38356  0.03750 -0.20788 -0.88936
