Iter   Tolerance Admix(mean)   Admix(SD)    Fst1    Fst2    Fst3    Fst4    Fst5   QPop1   QPop2   QPop3   QPop4   QPop5
  44  1.2367E-06    0.214291    0.232037  0.4480 -0.1180  0.3514  0.2669  0.4480  0.4197  0.1720  0.2546  0.0474  0.1063
  45  1.2093E-06    0.214392    0.232177  0.4479 -0.1177  0.3533  0.2671  0.4481  0.4207  0.1720  0.2535  0.0474  0.1063
  46  1.1789E-06    0.214370    0.232324  0.4479 -0.1175  0.3552  0.2672  0.4483  0.4217  0.1720  0.2525  0.0474  0.1064
  47  1.1297E-06    0.214352    0.232549  0.4479 -0.1173  0.3570  0.2674  0.4484  0.4226  0.1721  0.2515  0.0474  0.1064
  48  9.7020E-07    0.214465    0.232629  0.4479 -0.1171  0.3588  0.2676  0.4485  0.4235  0.1721  0.2506  0.0474  0.1064
  49  9.5582E-07    0.214445    0.232787  0.4478 -0.1169  0.3606  0.2677  0.4486  0.4244  0.1721  0.2497  0.0474  0.1064
  50  8.8988E-07    0.214487    0.232856  0.4478 -0.1167  0.3623  0.2679  0.4487  0.4252  0.1721  0.2489  0.0474  0.1064
  51  8.9627E-07    0.214388    0.233008  0.4477 -0.1165  0.3639  0.2680  0.4488  0.4261  0.1721  0.2480  0.0474  0.1064
  52  7.4844E-07    0.214499    0.233063  0.4477 -0.1163  0.3655  0.2682  0.4489  0.4268  0.1721  0.2472  0.0474  0.1065
  53  7.2699E-07    0.214489    0.233174  0.4477 -0.1161  0.3671  0.2683  0.4490  0.4275  0.1721  0.2464  0.0474  0.1065
  54  6.7556E-07    0.214488    0.233240  0.4476 -0.1159  0.3685  0.2684  0.4491  0.4283  0.1721  0.2456  0.0474  0.1065
  55  6.2626E-07    0.214535    0.233246  0.4475 -0.1158  0.3700  0.2686  0.4491  0.4290  0.1721  0.2449  0.0474  0.1066
  56  5.9031E-07    0.214514    0.233312  0.4475 -0.1156  0.3713  0.2687  0.4492  0.4296  0.1721  0.2442  0.0474  0.1066
  57  5.3327E-07    0.214465    0.233414  0.4474 -0.1154  0.3727  0.2688  0.4493  0.4303  0.1722  0.2435  0.0474  0.1066
  58  4.9137E-07    0.214408    0.233521  0.4474 -0.1153  0.3739  0.2689  0.4494  0.4309  0.1722  0.2429  0.0474  0.1066
