K Run Tem Iterate    Move%     Time        CurrentLogL           BestLogL     Fst1     Fst2     Fis1     Fis2
2   1   1       0   1.0000 10:24:08 -3.01047484230E+05 -3.01047484230E+05  0.01171 -0.01525 -0.16338 -0.16584
2   1   1     100   1.0000 10:24:08 -2.88960002635E+05 -2.88960002635E+05 -0.01525  0.01171 -0.16584 -0.16338
2   1   1     200   6.5000 10:24:08 -2.51972592692E+05 -2.51972592692E+05 -0.01525  0.01171 -0.16584 -0.16338
2   1   1     400   3.5000 10:24:08 -2.46022175551E+05 -2.46022175551E+05 -0.01525  0.01171 -0.16584 -0.16338
2   1   1     800   3.2500 10:24:08 -2.48582408160E+05 -2.46022175551E+05 -0.01525  0.01171 -0.16584 -0.16338
2   1   1    1600  18.6875 10:24:08 -2.82394701516E+05 -2.46022175551E+05  0.37432 -0.00595 -0.20924 -0.75176
2   1   2    3200   7.8431 10:24:08 -2.59130398049E+05 -2.46022175551E+05  0.36765 -0.03628 -0.20717 -0.67065
2   1   2    6400  26.8225 11:24:08 -2.72912075572E+05 -2.46022175551E+05  0.27690 -0.18254 -0.21736 -0.23364
2   1   4   12800  18.0742 12:24:08 -2.67998633423E+05 -2.46022175551E+05 -0.17180  0.23992 -0.20302 -0.21666
2   1   5   15000   8.9888 12:24:08 -2.46022175551E+05 -2.46022175551E+05  0.34622 -0.10806 -0.21527 -0.46208
2   1   8   25600   1.0574 12:24:08 -2.46022175551E+05 -2.46022175551E+05  0.38356  0.03750 -0.20788 -0.88936
2   1 200   29991   0.0000 13:24:08 -2.46022175551E+05 -2.46022175551E+05  0.38356  0.03750 -0.20788 -0.88936
